gene,SubGroup-20220223-122243_log2FoldChange,SubGroup-20220223-141121_log2FoldChange,SubGroup-20220223-145715_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
COMP,1.0974912494171603,1.2576547453469056,1.7820604912298412,1.2576547453469056,1.3487153078352032,,
CPN1,1.9720833616040407,1.2213424092153788,2.365364341489026,1.9720833616040407,1.8827183684781215,,
CPS1,-2.964821990761182,-2.033918512512874,-3.120388340448158,-2.964821990761182,-2.770987708620849,2.1046060120542918,1.9289261149555348e-05
CTNNA2,1.1878117661394474,1.8933554444449876,1.8552425910915342,1.8552425910915342,1.697913098191876,-1.1703470006345182,0.02412530038244357
CTSE,-4.030821280354636,-3.1392986845507087,-4.487288464244958,-4.030821280354636,-3.9220574273762345,,
CYP1A1,-4.240367953916917,-3.4203448311534275,-3.719148230696621,-3.719148230696621,-3.774752311615897,,
CYP3A4,-1.4672765207703566,-1.6776514780643632,-1.0545151515703959,-1.4672765207703566,-1.416679917793868,1.422108135798375,0.0006358164609524979
DEFA5,-2.0209335079454473,-1.3116905359258462,-1.2881080045970632,-1.3116905359258462,-1.4831056460985508,2.06396769533839,0.0010666989864618224
DEFA6,-1.9737199380509007,-2.5529201118816567,-2.332782177218454,-2.332782177218454,-2.2980511010923665,1.2678669859463554,0.024819898980322566
DLX3,2.4280531756977304,1.6779332995324736,2.596824107504891,2.4280531756977304,2.2827159396082064,,
DMBT1,-1.7622368515915103,-1.2487124996897612,-1.6048534172263849,-1.6048534172263849,-1.5551640464335104,,
DRD2,2.093544641104976,1.9808841336866314,2.3686032532873913,2.093544641104976,2.1341441672959935,,
DUSP4,-2.2287716550314687,-1.389103628038952,-2.1012572989108413,-2.1012572989108413,-1.9550974702230257,,
ELAVL2,1.747308440828327,1.3710500133179162,1.9073202778250966,1.747308440828327,1.6932467931999167,,
ELF5,1.5161599938199681,1.5127198196950589,2.1962156780366655,1.5161599938199681,1.685313871342915,,
EPHA4,-1.275795769953734,-1.021136434052605,-1.059044571498056,-1.059044571498056,-1.1037553367506128,,
EPHA7,2.049531659750481,1.0724526024946455,2.1199951720235086,2.049531659750481,1.822877773504779,,
EREG,1.1757696951143521,1.092411275062973,1.1242614950759022,1.1242614950759022,1.1291759900822824,,
EYA1,1.6619321481177136,1.1604688472645481,2.101494149324672,1.6619321481177136,1.646456823206162,,
F7,1.7361221435900631,1.419674300825486,2.4321062181713238,1.7361221435900631,1.831006201544234,,
F10,1.6306396579798945,1.18882718570846,2.0178508561366133,1.6306396579798945,1.6169893394512158,,
FABP4,1.893444455986029,2.8612106576018834,3.166435462924388,2.8612106576018834,2.695575308528546,-1.413121234572292,3.8747897936180076e-05
FABP2,-1.09285634901161,-1.105292122811787,-1.3972730632633032,-1.105292122811787,-1.1751784144746218,,
FABP3,1.2112042191059824,1.5992460392184507,1.4359876493143955,1.4359876493143955,1.4206063892383058,,
FGF13,1.012833330447489,1.0784939770695146,1.3397956159810556,1.0784939770695146,1.1274042251418934,,
FOXI1,-1.7884166020327437,-1.209606201322784,-1.0863852471834816,-1.209606201322784,-1.3235035629654484,,
GABRP,-2.958740004703064,-1.6206945827546313,-2.572619492125031,-2.572619492125031,-2.4311683929269394,1.2990877764282953,0.0017401491502088882
GAS2,1.104949624198478,1.3030304118459952,1.1649306940873596,1.1649306940873596,1.1844603560547982,,
GFI1,-1.694478341944356,-1.1716400686951898,-1.82293753349316,-1.694478341944356,-1.5958835715192654,,
GJB5,-2.6405697205379055,-1.4248395734393475,-2.5439869749030146,-2.5439869749030146,-2.2883458109458203,,
GLRA2,1.634208929220342,1.8389301602318753,1.313286854457283,1.634208929220342,1.6051587182824605,,
GNG4,2.120703199685514,1.730583878130822,2.6533863682839365,2.120703199685514,2.1563441614464467,,
GP2,-3.9600566956783627,-2.4445828850929696,-4.220691759588505,-3.9600566956783627,-3.6463470090095504,1.6765809166240597,0.008063891650541135
GRPR,2.41721191549079,2.1182692533677225,2.3673130938453784,2.3673130938453784,2.3175268391373174,-1.171900060344574,0.000564701795267934
SERPIND1,1.154123853036749,1.0350589647146309,1.4095236519617955,1.154123853036749,1.1882075806874812,,
HOXD10,1.9103754644837656,1.1767570684802497,2.150577518769131,1.9103754644837656,1.787021379054228,,
HOXD11,1.7143373833845659,1.2964945155333443,2.020899659888277,1.7143373833845659,1.6865172355476883,,
HSD17B2,-1.98579364110714,-1.2978615330836845,-1.925130767482834,-1.925130767482834,-1.7834791772891232,,
HYAL1,-2.059368470979825,-1.551878426718466,-2.242340068732527,-2.059368470979825,-1.9782388593526608,,
IGF2,1.300801805318402,1.3513806419891246,2.7704084791796935,1.3513806419891246,1.6934928921190864,,
IGFALS,-2.4782320674776543,-1.35319301652677,-2.6429200317935626,-2.4782320674776543,-2.2381442958189104,,
IL1A,-1.2419309034251964,-1.0487639165439724,-1.027464645054053,-1.0487639165439724,-1.0917308453917984,,
KIF5A,1.034347455853397,1.2387840404329555,1.7656798114409962,1.2387840404329555,1.319398837040076,,
L1CAM,1.4044775262057714,2.2084949116833634,2.535240433832342,2.2084949116833634,2.08917694585121,,
LBP,1.7093575263959027,1.868663430247258,2.183279269012497,1.868663430247258,1.907490913975729,,
LEP,2.15805573704591,2.5437143084103173,2.731630503584859,2.5437143084103173,2.494278714362851,,
LYZ,-1.6810418330115007,-1.1399079930621483,-2.1662956160138416,-1.6810418330115007,-1.667071818774748,,
MAGEA4,4.13448965430075,3.207186071581236,3.414730004865958,3.414730004865958,3.5427839339034755,,
MME,1.4315954226290346,1.9471964656778835,1.3745355640724195,1.4315954226290346,1.5462307187520932,,
MT3,1.5938536624827766,1.2684882959033472,1.1806719219105353,1.2684882959033472,1.3278755440500016,,
MUC1,-1.4390251654402588,-1.3825001444305898,-1.480345013957318,-1.4390251654402588,-1.4352238723171062,,
MUC2,-2.3722124544024745,-1.9372711044900135,-2.724552602950718,-2.3722124544024745,-2.35156215406142,1.0871727136199008,0.006134210555685004
MUC4,-1.4612092774446515,-1.4869158578418913,-1.6093008959346269,-1.4869158578418913,-1.5110854722657654,,
MUC6,-5.459602203554014,-1.6980562040737874,-3.2743887981443396,-3.2743887981443396,-3.4266090009791204,1.3504059742259833,0.015317563755231623
MYBPC1,-1.6894436760019529,-1.3580487844377833,-2.1279456958606424,-1.6894436760019529,-1.7162204580755829,,
NELL2,1.1782862859903052,1.0312239490004211,1.2962066925553652,1.1782862859903052,1.171000803384099,,
NEUROD1,2.6869147761695036,2.635072618145349,3.1529537214485486,2.6869147761695036,2.7904639729832263,1.895766610070939,0.004265924460031811
NGFR,1.0979788014686016,1.1669418105097145,2.037655442185807,1.1669418105097145,1.3673794661684595,,
NNAT,2.14297595708866,2.2250161650667897,2.1694953469245024,2.1694953469245024,2.176745704001114,,
NOS2,-1.6635933819037034,-1.179797498750238,-1.7304007905682222,-1.6635933819037034,-1.5593462632814665,,
NOVA1,1.1404651295721997,1.172652542895558,1.865014240431508,1.172652542895558,1.337696113948706,,
NPTX2,1.7033424082866895,1.3215933953211811,1.7046578016359113,1.7033424082866895,1.6082340033826177,,
GPR143,1.5054726254609943,1.520736356208554,1.4123096132213027,1.5054726254609943,1.4859978050879614,,
ORM1,3.864107834057688,3.4780522590199983,4.012516329668544,3.864107834057688,3.8046960642009795,,
PAEP,-2.5813166421049205,2.102872028995884,-1.0693405555555358,-1.0693405555555358,-0.654281431055027,4.239722550890498,2.4447819370117863e-11
PAH,1.459016859730494,1.141460409833074,1.59251799405302,1.459016859730494,1.4130030308367705,,
PAX9,-1.3746703971721697,-1.04344961159429,-1.1137667840100192,-1.1137667840100192,-1.1614133941966245,,
SERPINA1,-1.2319135692593068,-1.0179768890305345,-1.4311318660196377,-1.2319135692593068,-1.2282339733921965,,
PIGR,-1.368508427390365,-1.652616802593558,-1.6019918574030683,-1.6019918574030683,-1.556277236197515,,
PLA2G2A,-1.6785876534109256,-1.2097842288196707,-1.434360153932177,-1.434360153932177,-1.4392730475237376,,
