gene,SubGroup-20220203-152500_log2FoldChange,SubGroup-20220125-002321_log2FoldChange,SubGroup-20220124-145618_log2FoldChange,SubGroup-20220202-091554_log2FoldChange,SubGroup-20220128-143511_log2FoldChange,SubGroup-20220127-164231_log2FoldChange,SubGroup-20220127-225258_log2FoldChange,SubGroup-20220203-111436_log2FoldChange,SubGroup-20220206-000257_log2FoldChange,SubGroup-20220124-211720_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
PAGE1,2.7160871972641356,2.6035665714124834,3.470335206698481,4.228404746805506,3.802118954801214,2.5106692896152176,3.8205903590671015,4.453177582259259,3.812822589932307,3.7635381436970317,3.782828549249123,3.542194471891078,2.7084635331967983,0.004683089061991745
CACNA1I,-3.0472789009306633,-2.93529853677415,-3.555762613655447,-2.968582003414391,-2.2695864817204425,-3.497682071258891,-2.034297951620292,-1.9360313677634837,-1.8964516917940406,-2.313380004444152,-2.624339270609151,-2.643517353998646,,
VCY,4.973589029411484,3.4931341528989015,3.2797811928946716,5.010803645031797,4.216489982340134,3.7081376247740505,6.353604036787553,6.284249607097439,5.128013472885055,1.8585178957433346,4.595039505875809,4.445578195067292,,
ECEL1,-3.509124833375137,-3.5419441240164153,-3.9453509163061296,-3.413303537949166,-3.911158755878179,-3.7632778546845502,-3.3126978700394534,-3.2291807503463876,-1.8629425828689123,4.434233697141097,-3.4612141856621514,-2.683269246725944,,
SEMA3E,2.3519310389468204,2.824417073067463,2.8032612981822207,2.8686552392945637,1.987867952713594,2.097667612880025,2.5843844113247862,2.9480737524247305,3.3765394918056075,3.608974741751733,2.813839185624842,2.7514192543651266,,
SSX3,5.288603743416668,4.853972277262681,4.305874790097016,6.547769392660667,7.566121639393724,7.505382288887667,5.77886828723735,4.682800830769314,4.662902344894496,2.757619786533727,5.071288010339675,5.365563944681181,,
AGR2,2.862205828210298,1.9484845573998968,2.1832406697540563,1.9970149378328763,1.649441418820309,1.868234401392281,4.0457714470252775,2.9655808794219785,4.382951877362567,6.066740612988801,2.522723248982177,2.9538536253809555,1.3970818293874088,0.024892802492174754
KLK11,-2.001584628412785,-2.053771925694423,-2.477071747303187,-2.035583538934918,-3.480329380970223,-2.752231363925408,-2.0326073840890055,-1.991611941191438,2.094036228624744,3.8185724870388857,-2.0340954615119617,-1.35875260512452,2.6994115265498824,6.831414564574105e-06
SULT4A1,-2.680783232113065,-2.4666528870979274,-2.4848171180860037,-2.4616335573076484,-1.5379242121840921,-2.303689955541905,-3.0973109910611916,-2.6134705280066126,-1.8841044030433274,-2.05935234886659,-2.4641432222027877,-2.368534768682832,,
CTAG2,3.5199002686623007,3.5302182475756494,3.4220633577178536,4.09759371963877,3.788648488335503,3.4741008357235055,3.907883163353422,4.101160877086097,3.133958173109864,1.9102099724970565,3.525059258118975,3.4918905783471814,,
CLDN18,3.7363927684249965,2.9184210461250437,2.091179812009884,3.667699129991589,1.6411233618489243,3.1977186204863415,3.2053029246887816,3.804960833171664,4.182983069595376,1.8319819346776987,3.201510772587562,3.043570388509806,,
FAM178B,3.011817347055855,3.236946619586887,2.9419575232901445,3.4389362569375286,3.1399112082895217,3.5636408184168404,3.2385084721260893,3.15956089155597,3.618184452917983,2.6109551544676965,3.1982537555714283,3.196242954565086,2.099848533457729,0.0005141903732372523
KCNK9,1.885606156888704,1.955587999907915,1.7528965017734015,2.1490840750604003,1.6191822427272604,1.8972486152392611,2.3720165743056785,2.0462308114986234,2.386592336519553,1.9144540281652522,1.9350210140365838,1.99217457782933,,
