id	filename	md5	size	state
189b591e-26de-43cb-93e0-77ecf484c2b7	189b591e-26de-43cb-93e0-77ecf484c2b7/unc.edu.116f1b9d-8c0c-4b29-b9b2-06ea186f4480.1134312.rsem.genes.results	b643587ea8a547f083ebc4dd180f7cd0	1514281	validated
18b8367c-b638-40f7-9b9a-8ada3fe2f469	18b8367c-b638-40f7-9b9a-8ada3fe2f469/unc.edu.82f3157c-09cc-40d7-872e-59f82f5f31f4.1080206.rsem.genes.results	2553a3dfcdc7e057c6d573ebae663c2d	1517300	validated
18d04033-3a88-47e0-9429-f4f82631f610	18d04033-3a88-47e0-9429-f4f82631f610/unc.edu.81769714-1765-4b76-8a3a-18f79e314852.1166994.rsem.genes.results	4bed5c3062fa7cd02a12db244b1dbca6	1515183	validated
19956675-2ac0-4e30-9a31-29e3461c9a25	19956675-2ac0-4e30-9a31-29e3461c9a25/unc.edu.c71ca9f7-248f-460c-b5d3-afb2c648fef2.1150693.rsem.genes.results	057bf97c4d925b53d765e4984e9cad90	1514114	validated
19cec6ab-734b-4b28-aaec-80c97aa11b02	19cec6ab-734b-4b28-aaec-80c97aa11b02/unc.edu.120bc298-f016-4c80-aa5f-a9006444942c.1130097.rsem.genes.results	4ab57937d3bf893f01b1dcdf3f56aae0	1530057	validated
1a26a0f2-931b-47d8-8541-1fc9c99af698	1a26a0f2-931b-47d8-8541-1fc9c99af698/unc.edu.2d4b31ad-8790-426a-965b-25b74293156c.1149371.rsem.genes.results	25b126670eddc2882e7f7fbb8c5858e4	1517462	validated
1a462275-3728-42e0-aa91-33784617129d	1a462275-3728-42e0-aa91-33784617129d/unc.edu.b6302c6b-2bab-40b1-b835-7f285719fff5.1170654.rsem.genes.results	b28b1d6f69b54d387daa876e1f4b7648	1514437	validated
1a99cab0-9ac5-4af2-865e-2b3b576351ca	1a99cab0-9ac5-4af2-865e-2b3b576351ca/unc.edu.98b2b18a-004d-459c-8aba-499d06897910.1161179.rsem.genes.results	8e9a4d589abc3b90e81af4071472b431	1517206	validated
1b980311-d5ef-4824-a248-d74feffa4cd0	1b980311-d5ef-4824-a248-d74feffa4cd0/unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1180544.rsem.genes.results	9f7655bc29664b1946fd42d63e7d03d0	1513437	validated
1cca44da-036d-419d-86b9-efc18312bc74	1cca44da-036d-419d-86b9-efc18312bc74/unc.edu.9384eb09-5787-49e8-b07e-bd9f71997771.1150090.rsem.genes.results	7b6f7ab2e8f90fe32b95555c0e4e8805	1520349	validated
