mRNA	logFC	FDR	Sub-0	Sub-1	Delta
SIGLEC15	0.2923648984661577	0.24471608063919653	33.92307692307692	40.455089820359284	9.917916940275042
FAM173A	0.019137102592366284	0.8367118069169452	516.9846153846154	513.3053892215569	9.89358762329041
CT47A9	-0.35341257905055606	0.7721158742162256	27.97948717948718	20.91616766467066	9.888302724614533
TBCK	-0.019756467975405	0.8584693349712403	499.53846153846155	490.63473053892216	9.869115617867697
SESN3	-0.14353832788689802	0.49462153933435216	68.55384615384615	66.26347305389221	9.840104447138732
SGIP1	-0.18119425820436	0.3714600113327579	54.1025641025641	46.21556886227545	9.803073969517937
ZNF433	-0.08270045701338068	0.41930352178266245	118.11794871794872	112.23353293413173	9.768408340457421
TMEM199	0.009922674701093846	0.8789953326905141	977.8820512820513	977.6407185628742	9.703205490910165
NICN1	0.016809161445279937	0.8354470622577831	576.774358974359	571.8982035928144	9.695093317497845
KILLIN	0.1968749350142887	0.07918556759036226	49.18974358974359	56.84431137724551	9.684227572600294
PRH2	0.39015667399968773	0.050315019093683216	24.743589743589745	34.34131736526946	9.65387667717176
UNC5D	-0.2583156108059534	0.7064065448402247	37.266666666666666	27.25748502994012	9.626561762701863
SPDYE6	-0.30369371394264794	0.007100162051068565	31.641025641025642	25.161676646706585	9.60918058987763
PRH1	-0.15913073995735438	0.14658503492322858	60.08717948717949	54.58682634730539	9.561717333745237
ZBTB37	0.21051429334787075	0.04679624966120474	45.323076923076925	51.40119760479042	9.541155510812727
SLC16A6	-0.30722938645356423	0.11844643734406889	30.974358974358974	25.11377245508982	9.516233303484759
LYG1	-0.3495757818868316	0.008529844427762433	27.215384615384615	21.32934131736527	9.513839356273923
VAMP1	-0.03219364906347398	0.788859318013253	295.33846153846156	287.0479041916168	9.50802278571554
FLVCR2	0.011509621467048349	0.9238328151647545	825.4051282051282	817.8802395209581	9.500100582601538
SECISBP2L	-0.007429600216304111	0.9482403882175213	1275.4769230769232	1272.5149700598802	9.47628362358321
CMC1	0.014910076476556481	0.8341438255024546	634.6923076923077	614.502994011976	9.463310846774426
ALS2CR8	-0.0736639073035228	0.5127816839947252	127.8923076923077	124.63473053892216	9.42104709867977
C3orf71	-0.1456524769764437	0.08806651686035885	64.58974358974359	57.32934131736527	9.407656141119531
LOC153684	-0.21421031692803902	0.1005045133886784	43.88205128205128	37.35928143712575	9.399988112580665
BMS1P4	-0.3038031832017378	0.008037591040772108	30.54871794871795	24.808383233532933	9.280797755552577
FBXO48	-0.1794380276163568	0.042775938194694066	51.66153846153846	43.90419161676647	9.270044565165017
ZNF497	0.08872115848775305	0.2831672178925825	104.45641025641025	110.30538922155688	9.267493729420728
PRKD1	-0.05489425300934607	0.7712995436146648	168.6102564102564	165.19760479041915	9.25573407535533
MBLAC1	0.08256806091502747	0.4048333652550171	111.7025641025641	111.69461077844312	9.223064117185274
POU2F3	0.3515188980377075	0.18101995405579607	25.95897435897436	33.61077844311377	9.125070060855771
HSPA1L	-0.1017117218820368	0.3086885573922341	88.36410256410257	80.86826347305389	8.987665024355774
NUP62CL	-0.26110457843151824	0.20456163823418194	34.40512820512821	29.580838323353294	8.98333649588234
LOC100131434	0.22311569137210124	0.08003169230871404	40.00512820512821	46.1497005988024	8.925771837916727
C1orf26	-0.03818390202432894	0.6569508080108032	232.4923076923077	220.9760479041916	8.877463498333215
NRCAM	0.014247869200545807	0.9635688380160806	622.8410256410257	567.8083832335329	8.874157466067132
DISC1	0.05417725179273186	0.7519817408150076	163.72307692307692	170.16167664670658	8.870066362742346
C15orf48	-0.02526664583989303	0.9257474950727355	348.96923076923076	338.4251497005988	8.817281962866055
HARBI1	-0.07085925104421305	0.3052266882362545	124.31794871794872	116.49101796407186	8.809076737506732
GCLM	-0.004728576623180452	0.9724606946324343	1853.9948717948719	1767.065868263473	8.766756810265669
BTBD16	-0.07315360389238913	0.6863762357589811	119.83589743589744	113.49101796407186	8.76642777311461
SHROOM3	-0.0060082772380145475	0.9659005815983885	1456.2615384615385	1444.6586826347304	8.749623054134508
RPL13AP3	-0.283867595287238	0.030249028012232372	30.71794871794872	24.82634730538922	8.719830234720797
C17orf57	0.23892866958119113	0.13262250621450353	36.44102564102564	43.84431137724551	8.706805774584328
SLC7A14	0.355711762951971	0.33923342287774283	24.46153846153846	28.748502994011975	8.70125697067129
C3orf15	-0.10760638739536163	0.5991557459656506	80.85641025641026	75.55688622754491	8.700666205449574
PSTPIP2	0.013189356632307959	0.9209349661546713	658.4358974358975	645.2754491017964	8.684345870795797
PPP1R1C	-0.08671721319584451	0.7228052603220197	100.0	93.59880239520957	8.671721319584451
C15orf61	-0.028869803494275162	0.7016665245080299	300.3179487179487	287.31736526946105	8.670120165290983
ZDHHC11	0.06658099558505781	0.7116987053547422	130.0102564102564	134.17365269461078	8.656212308063516
PELI3	0.027168611633446867	0.809936791705027	318.32307692307694	314.3353293413174	8.64839605088691
CNTN3	0.12427024382077331	0.719517460072853	69.41538461538461	78.49700598802396	8.626266771066602
CASC5	-0.03056402412821387	0.8506204149592465	280.8871794871795	279.6706586826347	8.585042531152093
